Key,en-GB,en,en-CE,da-DK,de,de-AT,de-CE,de-DE,en-US,en-IE,fi-FI,fr-FR,it-IT,nl,nl-NL,no-NO,sv-SE,fr-BE,nl-BE,de-CH,fr-CH,it-CH,es-ES,pt-PT,de-LU,fr-LU,gr-GR,pl-PL,hu-Hu,cs-Cz,sk-SK,ro-RO,sl-SI,hr HR
dynamicFieldMessage.dateBefore,This field must be a date before {value}.,This field must be a date before {value}.,This field must be a date before {value}.,Dette felt skal være en dato før {værdi}.,,Geben Sie ein korrektes Datum ein.,Geben Sie ein korrektes Datum ein.,,This field must be a date before {value}.,This field must be a date before {value}.,"Kenttään on syötettävä päivämäärä, joka on ennen {value}.",Ce champ doit être une date antérieure à {valeur}.,Questo campo deve avere una data antecedente a {valore}.,Dit veld moet een datum zijn voor {waarde}.,Dit veld moet een datum zijn voor {waarde}.,Dette feltet må være en dato før {verdi}.,,Ce champ doit être une date antérieure à {valeur}.,Dit veld moet een datum zijn voor {waarde}.,Geben Sie ein korrektes Datum ein.,Ce champ doit être une date antérieure à {valeur}.,Questo campo deve avere una data antecedente a {valore}.,Este campo debe ser una fecha anterior a {Wert}.,Neste campo deve ser introduzida uma data anterior a {Wert}.,"Dieses Feld muss ein Datum sein, das vor {Wert} liegt.",Ce champ doit être une date antérieure à {valeur}.,Αυτό το πεδίο πρέπει να είναι μια ημερομηνία πριν από την {value}.,,Ennek a mezőnek {value} előtti dátumnak kell lennie.,Tohle pole musí obsahovat datum před {value} ,Toto pole musí obsahovať dátum pred {value} ,Acest câmp trebuie să fie o dată anterioară {value}.,To polje mora biti datum pred {value}.,Ovo polje mora biti datum prije {value}.
dynamicFieldMessage.alpha,This field only allows alpha characters.,This field only allows alpha characters.,This field only allows alpha characters.,Dette felt accepterer kun alfabetiske tegn.,,In diesem Feld sind nur Buchstaben zulässig.,In diesem Feld sind nur Buchstaben zulässig.,,This field accepts only alphabetical characters.,This field only allows alpha characters.,Kentässä voi käyttää vain kirjaimia.,Seuls les lettres (majuscules) et les chiffres compris entre 0 et 9 sont autorisés dans ce champ. ,In questo campo sono ammesse solo lettere.,In dit veld zijn alleen (hoofd)letters en cijfers tussen 0 en 9 toegestaan. ,In dit veld zijn alleen (hoofd)letters en cijfers tussen 0 en 9 toegestaan. ,Dette feltet tillater kun bokstaver (store) og tall mellom 0 og 9.,,Seuls les lettres (majuscules) et les chiffres compris entre 0 et 9 sont autorisés dans ce champ. ,In dit veld zijn alleen (hoofd)letters en cijfers tussen 0 en 9 toegestaan. ,In diesem Feld sind nur Buchstaben zulässig.,Seuls les lettres (majuscules) et les chiffres compris entre 0 et 9 sont autorisés dans ce champ. ,In questo campo sono ammesse solo lettere.,En este campo solo están permitidas letras (mayúsculas) y números entre 0 y 9.,Neste campo é apenas permitido introduzir letras (maiúsculas) e números entre 0 e 9).,In diesem Feld sind nur Buchstaben (Großbuchstaben) und Zahlen zwischen 0 und 9 zulässig. ,Seuls les lettres (majuscules) et les chiffres compris entre 0 et 9 sont autorisés dans ce champ. ,Σε αυτό το πεδίο επιτρέπονται μόνο γράμματα (κεφαλαία) και αριθμοί μεταξύ του 0 και του 9. ,,Ebben a mezőben csak betűk (nagybetűk) és 0 és 9 közötti számok megengedettek.,V tomto poli jsou povolena pouze písmena,V tomto poli sú povolené iba písmená,Acest câmp permite doar litere.,To polje dovoljuje samo črkovne znake.,Ovo polje dopušta samo alfa znakove.
dynamicFieldMessage.ipvFour,This field only allows valid ipv4 addresses.,This field only allows valid ipv4 addresses.,This field only allows valid ipv4 addresses.,Dette felt tillader kun gyldige ipv4-adresser.,,Not necessary in AT,Not necessary in DE,,Not necessary in US,This field only allows valid ipv4 addresses.,Kenttä hyväksyy vain kelvollisen IPv4-osoitteen.,Seules les adresses IPv4 valides sont autorisées dans ce champ.,In questo campo sono ammessi solo indirizzi IPv4 validi.,In dit veld zijn alleen geldige ipv4-adressen toegestaan.,In dit veld zijn alleen geldige ipv4-adressen toegestaan.,Dette feltet tillater kun gyldige IPv4-adresser.,,Seules les adresses IPv4 valides sont autorisées dans ce champ.,In dit veld zijn alleen geldige ipv4-adressen toegestaan.,Not necessary in CH,Not necessary in CH,Not necessary in CH,En este campo solo están permitidas direcciones IPv4 válidas.,Neste campo é apenas permitido introduzir endereços IPv4 válidos.,In diesem Feld sind nur gültige IPv4-Adressen zulässig.,Seules les adresses IPv4 valides sont autorisées dans ce champ.,Σε αυτό το πεδίο επιτρέπονται μόνο έγκυρες διευθύνσεις IPv4.,,Csak érvényes IPv4-címek engedélyezettek ebben a mezőben.,Použijte pouze platnou IPv4 adresu.,Použite platnú IPv4 adresu.,Acest câmp permite numai adrese ipv4 valide.,To polje dovoljuje samo veljavne naslove ipv4.,Ovo polje dopušta samo važeće ipv4 adrese.
dynamicFieldMessage.SDI,This field only allows valid SDI.,This field only allows valid SDI.,This field only allows valid SDI.,Dette felt tillader kun gyldig SDI.,,Not necessary in AT,Not necessary in DE,,Not necessary in US,This field only allows valid SDI.,Kenttä hyväksyy vain kelvollisen SDI:n.,Ce champ n'autorise que les ID valides.,In questo campo sono ammessi solo codici SDI validi.,Dit veld staat alleen geldige SDI toe.,Dit veld staat alleen geldige SDI toe.,Dette feltet tillater kun gyldige ID-er.,,Ce champ n'autorise que les ID valides.,Dit veld staat alleen geldige ID toe.,Not necessary in CH,Not necessary in CH,Not necessary in CH,En este campo solo están permitidos IDs válidos.,Neste campo é apenas permitido introduzir IDs válidos.,In diesem Feld sind nur gültige IDs zulässig.,Ce champ n'autorise que les ID valides.,Αυτό το πεδίο επιτρέπει μόνο έγκυρα ID.,,Csak érvényes azonosítók engedélyezettek ebben a mezőben.,V tomto poli jsou povoleny pouze platné identifikátory.,V tomto poli sú povolené iba platné identifikátory. ,Acest câmp permite numai ID-uri valide. ,To polje dovoljuje samo veljaven SDI.,Ovo polje dopušta samo važeći SDI.
dynamicFieldMessage.alphaNumSpace,"This field only allows alpha, space and numerical characters.","This field only allows alpha, space and numerical characters.","This field only allows alpha, space and numerical characters.","Dette felt tillader kun alfabetiske tegn, mellemrum og numeriske cifre.",,"In diesem Feld sind nur Buchstaben, Leerzeichen und Zahlen zulässig.","In diesem Feld sind nur Buchstaben, Leerzeichen und Zahlen zulässig.",,"This field allows only alphabetical characters, spaces, and numerical digits.","This field only allows alpha, space and numerical characters.","Kentässä voi käyttää vain kirjaimia, välilyöntejä ja numeroita.","Seuls les lettres (majuscules), les espaces et les caractères numériques sont autorisés dans ce champ.","In questo campo sono ammessi solo lettere, numeri e spazi.","In dit veld zijn alleen (hoofd)letters, spatie- en numerieke tekens toegestaan.","In dit veld zijn alleen (hoofd)letters, spatie- en numerieke tekens toegestaan.","Dette feltet tillater kun bokstaver (store), mellomrom og numeriske tegn.",,"Seuls les lettres (majuscules), les espaces et les caractères numériques sont autorisés dans ce champ.","In dit veld zijn alleen (hoofd)letters, spatie- en numerieke tekens toegestaan.","In diesem Feld sind nur Buchstaben, Leerzeichen und Zahlen zulässig.","Seuls les lettres (majuscules), les espaces et les caractères numériques sont autorisés dans ce champ.","In questo campo sono ammessi solo lettere, numeri e spazi.","En este campo solo están permitidas letras (mayúsculas), espacios y números.","Neste campo é apenas permitido introduzir letras (maiúsculas), espaços e números).","In diesem Feld sind nur Buchstaben (Großbuchstaben), Leerzeichen und numerische Zeichen zulässig.","Seuls les lettres (majuscules), les espaces et les caractères numériques sont autorisés dans ce champ.","Σε αυτό το πεδίο επιτρέπονται μόνο γράμματα (κεφαλαία), κενά και αριθμητικοί χαρακτήρες.",,"Ebben a mezőben csak betűk (nagybetűk), szóközök és numerikus karakterek használhatók.","V tomto poli jsou povolena pouze písmena, mezery a číselné znaky.","V tomto poli sú povolené iba písmená, medzery a číselné znaky.","Acest câmp permite numai litere, spațiu și caractere numerice.","To polje dovoljuje samo črke, presledke in številke.","Ovo polje dopušta samo alfa, razmak i numeričke znakove."
dynamicFieldMessage.notIn,"This field must not be contained within the following values, {value}.","This field must not be contained within the following values, {value}.","This field must not be contained within the following values, {value}.",Dette felt må ikke være indeholdt i de følgende værdier {værdi}.,,Dieses Feld darf die folgenden Werte nicht enthalen: {value},Dieses Feld darf die folgenden Werte nicht enthalen: {value},,This field must not contain any of the following values: {value}.,"This field must not be contained within the following values, {value}.",Kentässä ei saa esiintyä seuraavia arvoja: {value}.,"Ce champ ne doit pas apparaître dans les valeurs suivantes, {valeur}.",Questo campo non deve contenere i seguenti valori: {valore}.,"Dit veld mag niet voorkomen in de volgende waarden, {waarde}.","Dit veld mag niet voorkomen in de volgende waarden, {waarde}.","Dette feltet må ikke forekomme i følgende verdier, {verdi}",,"Ce champ ne doit pas apparaître dans les valeurs suivantes, {valeur}.","Dit veld mag niet voorkomen in de volgende waarden, {waarde}.",Dieses Feld darf die folgenden Werte nicht enthalen: {value},"Ce champ ne doit pas apparaître dans les valeurs suivantes, {valeur}.",Questo campo non deve contenere i seguenti valori: {valore}.,"Este campo no debe aparecer en los siguientes valores,  {Wert}.","Neste campo não devem aparecer os seguintes valores, {Wert}.","Dieses Feld darf nicht in den folgenden Werten vorkommen, {Wert}.","Ce champ ne doit pas apparaître dans les valeurs suivantes, {valeur}.","Αυτό το πεδίο δεν πρέπει να εμφανίζεται στις ακόλουθες τιμές, {value}",,Ezt a mezőt nem tartalmazhatják a következő értékek: {value}.,"Toto pole nesmí obsahovat následující hodnoty, {value}.","Toto pole nesmie obsahovať nasledujúce hodnoty, {value}. ","Acest câmp nu trebuie să fie cuprins în următoarele valori, {value}.","To polje ne sme vsebovati naslednjih vrednosti, {value}.","Ovo polje ne smije biti sadržano unutar sljedećih vrijednosti, {value}."
dynamicFieldMessage.different,This field must not be the same as {value}.,This field must not be the same as {value}.,This field must not be the same as {value}.,Dette felt må ikke være det samme som {værdi}.,,Dieses Feld darf nicht mit {value} identisch sein.,Dieses Feld darf nicht mit {value} identisch sein.,,This field must not be the same as {value}.,This field must not be the same as {value}.,Kentän arvo ei saa olla sama kuin {value}.,Ce champ ne doit pas être identique à {valeur}.,Questo campo non deve essere uguale a {valore}.,Dit veld mag niet hetzelfde zijn als {waarde}.,Dit veld mag niet hetzelfde zijn als {waarde}.,Dette feltet må ikke være identisk med {verdi}.,,Ce champ ne doit pas être identique à {valeur}.,Dit veld mag niet hetzelfde zijn als {waarde}.,Dieses Feld darf nicht mit {value} identisch sein.,Ce champ ne doit pas être identique à {valeur}.,Questo campo non deve essere uguale a {valore}.,Este campo no puede ser idéntico a {Wert}.,Este campo não pode ser idêntico a {Wert}.,Dieses Feld darf nicht mit {Wert} identisch sein.,Ce champ ne doit pas être identique à {valeur}.,Αυτό το πεδίο δεν πρέπει να είναι το ίδιο με το {value}.,,Ez a mező nem egyezhet meg a(z) {value} mezővel.,Toto pole nesmí být stejné jako {value}.,Toto pole sa nesmie zhodovať s {value}.,Acest câmp nu trebuie să fie același cu {value}.,To polje ne sme biti enako kot {value}.,Ovo polje ne smije biti isto što i {value}.
dynamicFieldMessage.equality,{value} fields do not match.,{value} fields do not match.,{value} fields do not match.,{værdi} felter matcher ikke.,,Die Felder {value} stimmen nicht überein.,Die Felder {value} stimmen nicht überein.,,{value} fields do not match.,{value} fields do not match.,{value} kentät eivät täsmää.,Les champs {valeur} ne correspondent pas.,I campi {valore} non corrispondono.,{waarde} velden komen niet overeen.,{waarde} velden komen niet overeen.,{verdi}-feltene stemmer ikke overens.,,Les champs {valeur} ne correspondent pas.,{waarde} velden komen niet overeen.,Die Felder {value} stimmen nicht überein.,Les champs {valeur} ne correspondent pas.,I campi {valore} non corrispondono.,Estos campos {Wert} no coinciden.,Estes campos {Wert} não coincidem.,Die Felder {Westimmen nicht überein.,Les champs {valeur} ne correspondent pas.,Τα πεδία {value} δεν ταιριάζουν.,,Az {value} mezők nem egyeznek.,Pole {value} se neshodují,{value} polia sa nezhodujú,Câmpurile {value} nu corespund.,{value} polja se ne ujemajo.,{value} polja se ne podudaraju.
dynamicFieldMessage.between,This field must be between {value},This field must be between {value},This field must be between {value},Dette felt skal være mellem {værdi}. ,,Dieses Feld muss zwischen {value} liegen.,Dieses Feld muss zwischen {value} liegen.,,This field must be between {value}. ,This field must be between {value},Kentän arvon on oltava {value}.,Ce champ doit être compris entre {valeur}.,Questo campo deve essere compreso tra {valore}.,Dit veld moet tussen {waarde}.,Dit veld moet tussen {waarde}.,Dette feltet må ligge mellom {verdi},,Ce champ doit être compris entre {valeur}.,Dit veld moet tussen {waarde}.,Dieses Feld muss zwischen {value} liegen.,Ce champ doit être compris entre {valeur}.,Questo campo deve essere compreso tra {valore}.,Este campo debe estar entre {Wert}.,Este campo deve estar entre {Wert}.,Dieses Feld muss zwischen {Wert} liegen.,Ce champ doit être compris entre {valeur}.,Αυτό το πεδίο πρέπει να είναι μεταξύ {value}.,,Ennek a mezőnek {érték} között kell lennie.,Toto pole musí být mezi {value}.,Toto pole musí byť medzi {value}.,Acest câmp trebuie să fie între {value},To polje mora biti med {value},Ovo polje mora biti između {value}
dynamicFieldMessage.email,This field only allows valid e-mail addresses.,This field only allows valid e-mail addresses.,This field only allows valid e-mail addresses.,Dette felt tillader kun gyldige e-mailadresser.,,Geben Sie eine gültige E-Mail Adresse ein.,Geben Sie eine gültige E-Mail Adresse ein.,,This field only allows valid email addresses.,This field only allows valid e-mail addresses.,Kenttään voi syöttää vain kelvollisen sähköpostiosoitteen.,Ce champ n'autorise que les adresses e-mail valides.,In questo campo vengono ammessi solo indirizzi e-mail validi.,In dit veld zijn alleen geldige e-mailadressen toegestaan.,In dit veld zijn alleen geldige e-mailadressen toegestaan.,Dette feltet tillater kun gyldige e-postadresser.,,Seules les adresses électroniques valides sont autorisées dans ce champ.,In dit veld zijn alleen geldige e-mailadressen toegestaan.,Geben Sie eine gültige E-Mail Adresse ein.,Seules les adresses électroniques valides sont autorisées dans ce champ.,In questo campo vengono ammessi solo indirizzi e-mail validi.,En este campo tan solo están permitidas direcciones de e-mail.,Neste campo é apenas permitido introduzir endereços de e-mail.,In diesem Feld sind nur gültige E-Mail-Adressen erlaubt.,Seules les adresses électroniques valides sont autorisées dans ce champ.,Μόνο έγκυρες διευθύνσεις ηλεκτρονικού ταχυδρομείου (e-mail) επιτρέπονται σε αυτό το πεδίο.,,Ebben a mezőben csak érvényes e-mail címek szerepelhetnek.,Lze zadat pouze platné e-mailové adresy.,Je možné zadať iba platné e-mailové adresy.,Acest câmp permite numai adrese de e-mail valide.,To polje dovoljuje samo veljavne e-poštne naslove.,Ovo polje dopušta samo važeće adrese e-pošte.
dynamicFieldMessage.dateInvalid,This field must be a valid date.,This field must be a valid date.,This field must be a valid date.,Dette felt skal være en gyldig dato.,,Geben Sie ein gültiges Datum ein.,Geben Sie ein gültiges Datum ein.,,This field must be a valid date.,This field must be a valid date.,Kenttään on syötettävä kelvollinen päivämäärä.,Ce champ doit être une date valide.,Questo campo deve contenere una data valida.,Dit veld moet een geldige datum zijn.,Dit veld moet een geldige datum zijn.,Dette feltet må ha en gyldig dato,,Ce champ doit être une date valide.,Dit veld moet een geldige datum zijn.,Geben Sie ein gültiges Datum ein.,Ce champ doit être une date valide.,Questo campo deve contenere una data valida.,Este campo debe ser una fecha válida.,Este campo deve ver uma data válida.,Dieses Feld muss ein gültiges Datum sein.,Ce champ doit être une date valide.,Αυτό το πεδίο πρέπει να περιέχει μια έγκυρη ημερομηνία.,,Ebben a mezőben érvényes dátumnak kell lennie.,Musí obsahovať platné datum.,Musí obsahovať platný dátum.,Acest câmp trebuie să fie o dată validă.,To polje mora biti veljaven datum.,Ovo polje mora biti važeći datum.
dynamicFieldMessage.IBAN,IBAN is invalid.,IBAN is invalid.,IBAN is invalid.,IBAN er ugyldig.,,Not necessary in AT,IBAN ist ungültig,,Not necessary in US,IBAN is invalid.,IBAN on virheellinen.,Not necessary in FR,IBAN non valido.,IBAN is ongeldig.,IBAN is ongeldig.,IBAN er ugyldig.,,IBAN n'est pas valide.,IBAN is ongeldig.,IBAN ist ungültig,IBAN n'est pas valide.,IBAN non valido.,IBAN incorrecto.,IBAN incorreto.,IBAN ist ungültig.,IBAN n'est pas valide.,Το IBAN δεν είναι έγκυρο.,,IBAN érvénytelen.,Neplatný IBAN,Neplatný IBAN,IBAN-ul nu este valid.,IBAN je neveljaven.,IBAN je nevažeći.
dynamicFieldMessage.max,This field must be equal to or less than {value}.,This field must be equal to or less than {value}.,This field must be equal to or less than {value}.,Dette felt skal være lig med eller mindre end {værdi}.,,Not necessary in AT,Dieses Feld muss kleiner oder gleich (value) sein.,,This field must be equal to or less than {value}.,This field must be equal to or less than {value}.,Kentän arvon on oltava enintään {value}.,Ce champ doit être égal ou inférieur à {valeur}.,Questo campo deve essere uguale o inferiore a {valore}.,Dit veld moet gelijk zijn aan of kleiner zijn dan {waarde}.,Dit veld moet gelijk zijn aan of kleiner zijn dan {waarde}.,Dette feltet må være lik eller mindre enn {verdi}.,,Ce champ doit être égal ou inférieur à {valeur}.,Dit veld moet gelijk zijn aan of kleiner zijn dan {waarde}.,Dieses Feld muss kleiner oder gleich (value) sein.,Ce champ doit être égal ou inférieur à {valeur}.,Questo campo deve essere uguale o inferiore a {valore}.,Este campo debe ser igual o menor que {Wert}.,Este campo deve ser igual ou menor que {Wert}.,Dieses Feld muss gleich oder kleiner als {Wert} sein.,Ce champ doit être égal ou inférieur à {valeur}.,Αυτό το πεδίο πρέπει να είναι ίσο ή μικρότερο από {value}.,,Ennek a mezőnek egyenlőnek vagy kisebbnek kell lennie a következőnél: {value}.,Pole musí být stejné nebo menší než {value}.,"Polia sa musia zhodovať, alebo byť menšie ako {value}.",Acest câmp trebuie să fie egal sau mai mic decât {value}.,To polje mora biti enako ali manjše od {value}.,Ovo polje mora biti jednako ili manje od {value}.
dynamicFieldMessage.requiredIf,This field is required if the value of {value} equals {value2}.,This field is required if the value of {value} equals {value2}.,This field is required if the value of {value} equals {value2}.,"Dette felt er obligatorisk, hvis {værdi} er lig med {værdi2}.",,Not necessary in AT,,,This field is required if {value} is equal to {value2}.,This field is required if the value of {value} equals {value2}.,"Tämä kenttä on pakollinen, jos {value} on yhtä suuri kuin {value2}.",Ce champ est obligatoire si la valeur de {valeur} est égale à {valeur2}.,Questo campo è obbligatorio se il valore di {valore} è uguale a {valore2}.,Dit veld is vereist als de waarde van {value} gelijk is aan {value2}.,Dit veld is vereist als de waarde van {value} gelijk is aan {value2}.,Dette feltet er obligatorisk hvis verdien av {verdi} er lik {verdi2}.,,Ce champ est obligatoire si la valeur de {valeur} est égale à {valeur2}.,Dit veld is vereist als de waarde van {value} gelijk is aan {value2}.,Dieses Feld muss kleiner oder gleich (value) sein.,Ce champ est obligatoire si la valeur de {valeur} est égale à {valeur2}.,Questo campo è obbligatorio se il valore di {valore} è uguale a {valore2}.,"Este campo es obligatorio, si el valor de {Wert} es igual que {Wert2}.","Este campo é obrigatório, se o valor de {Wert} for igual a {Wert2}.","Dieses Feld ist obligatorisch, wenn der Wert von {Wert} gleich {Wert2} ist.",Ce champ est obligatoire si la valeur de {valeur} est égale à {valeur2}.,Αυτό το πεδίο είναι υποχρεωτικό εάν η τιμή του {value} είναι ίση με το {value2}.,,"Ez a mező kötelező, ha a(z) {value} értéke egyenlő a(z) {value2} értékkel.","Toto pole je povinné, pokud se {value} rovná {value2}.","Toto pole je povinné, ak sa {value} rovná {value2}.",Acest câmp este obligatoriu dacă valoarea lui {value} este egală cu {value2}.,"To polje je obvezno, če je vrednost {value} enaka {value2}.",Ovo polje je obavezno ako je vrijednost {value} jednaka {value2}.
dynamicFieldMessage.accepted,This field must be accepted.,This field must be accepted.,This field must be accepted.,Dette felt skal accepteres.,,Dies ist ein Pflichtfeld.,Dies ist ein Pflichtfeld.,,Please ensure this field has an acceptable value.,This field must be accepted.,Kenttä on hyväksyttävä.,Ce champ doit être accepté.,Questo campo deve essere accettato.,Dit veld moet worden geaccepteerd.,Dit veld moet worden geaccepteerd.,Dette feltet må aksepteres.,,Ce champ doit être accepté.,Dit veld moet worden geaccepteerd.,Dies ist ein Pflichtfeld.,Ce champ doit être accepté.,Questo campo deve essere accettato.,Es imprescindible aceptar este campo.,É imprescindível aceitar este campo.,Dieses Feld muss akzeptiert werden.,Ce champ doit être accepté.,Είναι απαραίτητο να αποδεχθείτε αυτό το πεδίο.,,Ezt a mezőt el kell fogadni.,Toto pole musí být akceptováno.,Toto pole musí byť akceptované.,Acest câmp trebuie acceptat.,To polje mora biti sprejeto.,Ovo polje mora biti prihvaćeno.
dynamicFieldMessage.taxNumber,The entered Tax Number is invalid.,The entered Tax Number is invalid.,The entered Tax Number is invalid.,Det indtastede CPR-nummer er ugyldigt.,,Not necessary in AT,,,Not necessary in US,The entered Tax Number is invalid.,Syötetty arvonlisäverotunniste (VAT-numero) on virheellinen.,Le numéro de TVA saisi n'est pas valide.,Partita IVA non valida. Segui questo esempio: IT00012345678,Het ingevoerde btw-nummer is ongeldig.,Het ingevoerde btw-nummer is ongeldig.,Det inntastede MVA-nummeret er ugyldig.,,Le numéro de TVA introduit n'est pas valide.,Het ingevoerde btw-nummer is ongeldig.,Not necessary in CH,Not necessary in CH,Not necessary in CH,El número de identificación fiscal es incorrecto.,O número de identificação fiscal está incorreto.,Die eingegebene USt-IdNr. ist ungültig.,Le numéro de TVA introduit n'est pas valide.,Ο αριθμός φορολογικού μητρώου που έχει εισαχθεί δεν είναι έγκυρος.,,A megadott adószám érvénytelen.,Uvedené daňové číslo je neplatné.,Uvedené daňové číslo je neplatné.,Numărul de taxă introdus nu este valid.,Vnesena davčna številka je neveljavna.,Uneseni porezni broj je nevažeći.
dynamicFieldMessage.vatTaxNumber,This field only allows a valid VAT Tax Number.,This field only allows a valid VAT Tax Number.,This field only allows a valid VAT Tax Number.,Dette felt tillader kun et gyldigt momsnummer.,,Not necessary in AT,Dieses Feld erlaubt nur gültige USt-Id Nummern.,,Not necessary in US,This field only allows a valid VAT Tax Number.,Kenttään voi syöttää vain kelvollisen arvonlisäverotunnisteen (VAT-numeron),Seul un numéro de TVA valide est autorisé dans ce champ.,In questo campo è ammesso solo un numero di Partita IVA valido. Segui questo esempio: IT00012345678,In dit veld is alleen een geldig btw-nummer toegestaan.,In dit veld is alleen een geldig btw-nummer toegestaan.,Kun et gyldig MVA-nummer er tillatt i dette feltet.,,Seul un numéro de TVA valide est autorisé dans ce champ.,In dit veld is alleen een geldig btw-nummer toegestaan.,Not necessary in CH,Not necessary in CH,Not necessary in CH,En este campo tan solo está permitido introducir un número de identificación fiscal correcto.,Neste campo é apenas permitido introduzir o número de identificação fiscal correto.,In diesem Feld ist nur eine gültige USt-IdNr. zulässig.,Seul un numéro de TVA valide est autorisé dans ce champ.,Στο πεδίο αυτό μπορεί να εισαχθεί μόνο ο έγκυρος αριθμός φορολογικού μητρώου.,,Ez a mező csak érvényes adószámot engedélyez.,Toto pole umožňuje zadat pouze platné daňové identifikační číslo.,Zadajte platné daňové identifikačné číslo.,Acest câmp permite numai un număr valid de TVA.,To polje dovoljuje samo veljavno davčno številko za DDV.,Ovo polje dopušta samo važeći PDV porezni broj.
dynamicFieldMessage.companyVatNumber,Please enter the organisation number with 9 digits,Please enter the organisation number with 9 digits,Please enter the organisation number with 9 digits,Indtast CVR-nummeret her,,Not necessary in AT,,,Not necessary in US,Please enter the organisation number with 9 digits,Syötä Y-tunnus.,Veuillez saisir le numéro de l'organisation à 9 chiffres,Not necessary in IT,Voer het organisatienummer van 9 cijfers in,Voer het organisatienummer van 9 cijfers in,Skriv inn organisasjonsnummeret her,,Saisissez le numéro d'organisation à 9 chiffres.,Voer het organisatienummer van 9 cijfers in.,Not necessary in CH,Not necessary in CH,Not necessary in CH,Introduci las 9 posiciones del número de organización.,Introduza os 9 algarismos do número de organização.,Geben Sie die 9-stellige Organisationsnummer ein.,Saisissez le numéro d'organisation à 9 chiffres.,Πληκτρολογήστε τον 9ψήφιο αριθμό του οργανισμού σας.,,Adja meg a szervezet 9 számjegyű számát.,Zadejte 8 místní identifikační číslo.,Zadajte 8 miestne identifikačné číslo.,Vă rugăm să introduceți numărul companiei. ,Vnesite 9-mestno številko organizacije,Unesite broj organizacije s 9 znamenki
