Key,en-GB,en,en-CE,da-DK,de,de-AT,de-CE,de-DE,en-US,en-IE,fi-FI,fr-FR,it-IT,nl,nl-NL,no-NO,sv-SE,fr-BE,nl-BE,de-CH,fr-CH,it-CH,es-ES,pt-PT,de-LU,fr-LU,gr-GR,pl-PL,hu-Hu,cs-Cz,sk-SK,ro-RO,sl-SI,hr HR
dynamicFieldMessage.maxLengthNoSpace,This field must be {value} or less characters long,This field must be {value} or less characters long,This field must be {value} or less characters long,Dette felt skal bestå af {værdi} tegn eller mindre.,,Dieses Feld darf höchstens {value} Zeichen lang sein.,Dieses Feld darf höchstens {value} Zeichen lang sein.,,This field must be {value} characters or less.,This field must be {value} or less characters long,Kenttään voi syöttää enintään {value} merkkiä.,Ce champ ne doit pas comporter plus de {valeur} caractères.,Questo campo deve essere di lunghezza pari o inferiore a {valore}.,Dit veld moet {waarde} of minder tekens lang zijn.,Dit veld moet {waarde} of minder tekens lang zijn.,Dette feltet må ikke inneholde mer enn {verdi} tegn.,,Ce champ ne doit pas comporter plus de {valeur} caractères.,Dit veld moet {waarde} of minder tekens lang zijn.,Dieses Feld darf höchstens {value} Zeichen lang sein.,Ce champ ne doit pas comporter plus de {valeur} caractères.,Questo campo deve essere di lunghezza pari o inferiore a {valore}.,Este campo no puede contener más de {Wert} caracteres.,Este campo não pode conter mais de {Wert} caracteres.,Dieses Feld darf nicht mehr als {Wert} Zeichen enthalten.,Ce champ ne doit pas comporter plus de {valeur} caractères.,Αυτό το πεδίο δεν πρέπει να περιέχει περισσότερους από {value} χαρακτήρες.,,Ennek a mezőnek legfeljebb {value} karakter hosszúságúnak kell lennie.,Toto pole nesmí být delší než {value} znaků.,Toto pole nesmie byť dlhšie ako {value}.,Acest câmp trebuie să aibă {value} sau mai puține caractere.,To polje mora imeti {value} ali manj znakov.,Ovo polje mora imati {value} ili manje znakova.
dynamicFieldMessage.url,This field only allows valid URLs.,This field only allows valid URLs.,This field only allows valid URLs.,Dette felt accepterer kun gyldige URL'er.,,Not necessary in AT,Dieses Feld erlaubt nur gültige URLs.,,This field accepts only valid URLs.,This field only allows valid URLs.,Kenttään voi syöttää vain kelvollisen URL-osoitteen.,Seules les URL valides sont autorisées dans ce champ.,In questo campo sono ammessi solo URL validi.,In dit veld zijn alleen geldige url's toegestaan.,In dit veld zijn alleen geldige url's toegestaan.,Kun gyldige URL-er er tillatt i dette feltet.,,Seules les URL valides sont autorisées dans ce champ.,In dit veld zijn alleen geldige url's toegestaan.,Dieses Feld erlaubt nur gültige URLs.,Seules les URL valides sont autorisées dans ce champ.,In questo campo sono ammessi solo URL validi.,En este campo solo están permitidas URLs válidas.,Nestes campo é apenas permitido introduzir URL válidas.,In diesem Feld sind nur gültige URLs zulässig.,Seules les URL valides sont autorisées dans ce champ.,Σε αυτό το πεδίο επιτρέπονται μόνο έγκυρες διευθύνσεις URL.,,Csak érvényes URL-ek engedélyezettek ebben a mezőben.,V tomto poli jsou povoleny pouze platné adresy URL.,V tomto poli sú povolené iba platné URL adresy.,Acest câmp permite numai adrese URL valide.,To polje dovoljuje samo veljavne URL-je.,Ovo polje dopušta samo važeće URL-ove.
dynamicFieldMessage.requiredIfNot,This field is required if the value of {value} does not equal {value2}.,This field is required if the value of {value} does not equal {value2}.,This field is required if the value of {value} does not equal {value2}.,"Dette felt er påkrævet, hvis {værdi} ikke er lig med {værdi2}.",,Not necessary in AT,,,This field is required if {value} is not equal to {value2}.,This field is required if the value of {value} does not equal {value2}.,"Tämä kenttä on pakollinen, jos {value} ei ole yhtä suuri kuin {value2}",Ce champ est obligatoire si la valeur de {valeur} n'est pas égale à {valeur2}.,Questo campo è obbligatorio se il valore di {valore} non è uguale a {valore2}.,Dit veld is vereist als de waarde van {waarde} niet gelijk is aan {waarde2}.,Dit veld is vereist als de waarde van {waarde} niet gelijk is aan {waarde2}.,Dette feltet er obligatorisk hvis verdien av {verdi} ikke er lik {verdi2}.,,Ce champ est obligatoire si la valeur de {valeur} n'est pas égale à {valeur2}.,Dit veld is vereist als de waarde van {waarde} niet gelijk is aan {waarde2}.,Not necessary in CH,Not necessary in CH,Not necessary in CH,Este campo es obligatorio si el valor de {Wert} no es igual al de {Wert2}.,"Este campo é obrigatório, se o valor de {Wert} não for igual a {Wert2}","Dieses Feld ist obligatorisch, wenn der Wert von {Wert} nicht gleich {Wert2} ist.",Ce champ est obligatoire si la valeur de {valeur} n'est pas égale à {valeur2}.,Αυτό το πεδίο είναι υποχρεωτικό εάν η τιμή {value} δεν είναι ίση με {value2}.,,"A mező kitöltése kötelező, ha a(z) {value} értéke nem egyenlő a(z) {value} értékkel.","Toto pole je povinné, pokud se hodnota {value} nerovná {value}.","Toto pole je povinné, ak sa hodnota {value} nerovná {value}",Acest câmp este obligatoriu dacă valoarea lui {value} nu este egală cu {value2}.,"To polje je obvezno, če vrednost {value} ni enaka {value2}.",Ovo polje je obavezno ako vrijednost {value} nije jednaka {value2}.
dynamicFieldMessage.alphaNum,"This field only allows alpha, dash, underscore and numerical characters.","This field only allows alpha, dash, underscore and numerical characters.","This field only allows alpha, dash, underscore and numerical characters.","Dette felt accepterer kun alfabetiske tegn, bindestreger, understregningstegn og numeriske cifre.",,"In diesem Feld sind nur Buchstaben, Bindestriche, Unterstriche und Zahlen zulässig.","In diesem Feld sind nur Buchstaben, Bindestriche, Unterstriche und Zahlen zulässig.",,"This field accepts only alphabetical characters, dashes, underscores, and numerical digits.","This field only allows alpha, dash, underscore and numerical characters.","Kentässä voi käyttää vain kirjaimia, yhdysmerkkejä, alaviivoja ja numeroita.","Seuls les caractères (majuscules), le trait d'union, le tiret du bas et les caractères numériques sont autorisés dans ce champ.","In questo campo sono ammessi solo lettere, numeri, trattini e trattini bassi.","In dit veld zijn alleen (hoofd)letters, streep-, underscore- en numerieke tekens toegestaan.","In dit veld zijn alleen (hoofd)letters, streep-, underscore- en numerieke tekens toegestaan.","Bare store bokstaver, bindestreker, understrekninger og tall er tillatt i dette feltet.",,"Seuls les caractères (majuscules), le trait d'union, le trait de soulignement et les caractères numériques sont autorisés dans ce champ.","In dit veld zijn alleen (hoofd)letters, streep-, underscore- en numerieke tekens toegestaan.","In diesem Feld sind nur Buchstaben, Bindestriche, Unterstriche und Zahlen zulässig.","Seuls les caractères (majuscules), le trait d'union, le trait de soulignement et les caractères numériques sont autorisés dans ce champ.","In questo campo sono ammessi solo lettere, numeri, trattini e trattini bassi.","En este campo solo están permitidos caracteres (mayúsculas), guiones, guiones bajos y numéricos.","Neste campo é apenas permitido introduzir caracteres (maiúsculas), traços, underscores e algarismos.","In diesem Feld sind nur Zeichen (Großbuchstaben), der Bindestrich, der Unterstrich und numerische Zeichen zulässig.","Seuls les caractères (majuscules), le trait d'union, le trait de soulignement et les caractères numériques sont autorisés dans ce champ.","Στο πεδίο αυτό επιτρέπονται μόνο κεφαλαία γράμματα, άνω και κάτω παύλες και αριθμητικοί χαρακτήρες.",,"Ebben a mezőben csak nagybetűk, kötőjel, aláhúzás és numerikus karakterek használhatók.","V tomto poli lze použít pouze písmena, pomlčky, podtržítka a číslice.","V tomto poli sa môžu používať len písmená, pomlčky, podčiarkovníky a číslice.","Acest câmp permite numai litere, liniuță, caractere de subliniere și numerice.","To polje dovoljuje samo črke, pomišljaj, podčrtaje in številke.","Ovo polje dopušta samo alfa, crticu, podvlaku i numeričke znakove."
dynamicFieldMessage.contains,"This field must be one of the following values, {value}.","This field must be one of the following values, {value}.","This field must be one of the following values, {value}.",Dette felt skal være en af følgende værdier: {værdi}.,,Geben Sie einen der folgenden Werte ein: {value}.,Geben Sie bitte einen der folgenden Werte ein: {value}.,,This field must be one of the following values: {value}.,"This field must be one of the following values, {value}.",Kentän arvon on oltava jokin seuraavista: {value},"Ce champ doit avoir l'une des valeurs suivantes, {valeur}.",Questo campo deve avere uno dei seguenti valori: {valore}.,"Dit veld moet een van de volgende waarden hebben, {value}.","Dit veld moet een van de volgende waarden hebben, {value}.","Dette feltet må ha en av følgende verdier, {verdi}.",,"Ce champ doit avoir l'une des valeurs suivantes, {valeur}.","Dit veld moet een van de volgende waarden hebben, {value}.",Geben Sie bitte einen der folgenden Werte ein: {value}.,"Ce champ doit avoir l'une des valeurs suivantes, {valeur}.",Questo campo deve avere uno dei seguenti valori: {valore}.,"Este campo debe contener uno de los siguientes valores, {Wert}.","Este campo deve conter um dos seguintes valores, {Wert}.","Dieses Feld muss einen der folgenden Werte haben, {Wert}.","Ce champ doit avoir l'une des valeurs suivantes, {valeur}.","Αυτό το πεδίο πρέπει να έχει μία από τις ακόλουθες τιμές, {value}.",,Ennek a mezőnek a következő értékek egyikével kell rendelkeznie: {value}.,Toto pole musí mít jednu z následujících hodnot: {value}. ,Toto pole musí mať jednu z nasledujúcich hodnôt: {value}.,"Acest câmp trebuie să fie una dintre următoarele valori, {value}.","To polje mora biti ena od naslednjih vrednosti, {value}.","Ovo polje mora biti jedna od sljedećih vrijednosti, {value}."
dynamicFieldMessage.dateAfter,This field must be a date after {value}.,This field must be a date after {value}.,This field must be a date after {value}.,"Dette felt skal være en dato, der ligger efter {værdi}.",,Geben Sie ein gültiges Datum ein.,Geben Sie bitte ein gültiges Datum ein.,,This field must be a date that is after {value}.,This field must be a date after {value}.,Kentän arvon on oltava {value} jälkeinen päivämäärä.,Ce champ doit être une date postérieure à {valeur}.,Questo campo deve avere una data successiva a {valore}.,Dit veld moet een datum zijn na {waarde}.,Dit veld moet een datum zijn na {waarde}.,Dette feltet må være en dato etter {verdi},,Ce champ doit être une date postérieure à {valeur}.,Dit veld moet een datum zijn na {waarde}.,Geben Sie bitte ein gültiges Datum ein.,Ce champ doit être une date postérieure à {valeur}.,Questo campo deve avere una data successiva a {valore}.,Este campo debe ser una fecha posterior a {Wert}.,Neste campo deve ser introduzida uma data posterior a {Wert}.,Dieses Feld muss ein Datum nach {Wert} sein.,Ce champ doit être une date postérieure à {valeur}.,Σε αυτό το πεδίο πρέπει να εισαχθεί μια ημερομηνία μετά από {value}.,,Ennek a mezőnek {value} utáni dátumnak kell lennie.,Zadejte datum po {value}.,Zadajte dátum po {value} dátume.,Acest câmp trebuie să fie o dată după {value}.,To polje mora biti datum po {value}.,Ovo polje mora biti datum nakon {value}.
dynamicFieldMessage.betweenLength,This field must be between {value} characters long.,This field must be between {value} characters long.,This field must be between {value} characters long.,Dette felt skal være mellem {værdi} tegn.,,Dieses Feld muss zwischen {value} Zeichen lang sein.,Dieses Feld muss zwischen {value} Zeichen lang sein.,,This field must be between {value} characters.,This field must be between {value} characters long.,Kentän arvon on oltava {value} merkkiä.,Ce champ doit contenir entre {valeur} caractères.,Questo campo deve avere una lunghezza compresa tra {valore} caratteri.,Dit veld moet tussen {waarde} karakters lang zijn.,Dit veld moet tussen {waarde} karakters lang zijn.,Dette feltet må være mellom {verdi} tegn.,,Ce champ doit contenir entre {valeur} caractères.,Dit veld moet tussen {waarde} karakters lang zijn.,Dieses Feld muss zwischen {value} Zeichen lang sein.,Ce champ doit contenir entre {valeur} caractères.,Questo campo deve avere una lunghezza compresa tra {valore} caratteri.,Este campo debe contener entre {Wert} caracteres.,Este campo deve conter entre {Wert} caracteres.,Dieses Feld muss zwischen {Wert} Zeichen enthalten.,Ce champ doit contenir entre {valeur} caractères.,Αυτό το πεδίο πρέπει να περιέχει χαρακτήρες μεταξύ {value}.,,Ennek a mezőnek {value} karaktert kell tartalmaznia.,Toto pole musí obsahovat znak {value}.,Toto pole musí obsahovať {value}.,Acest câmp trebuie să aibă între {value} caractere.,To polje mora biti dolgo med {value} znakov.,Ovo polje mora imati između {value} znakova.
dynamicFieldMessage.invalid,This field is invalid.,This field is invalid.,This field is invalid.,Dette felt er ugyldigt.,,Die Eingabe ist unzulässig.,Die Eingabe ist unzulässig.,,This field is invalid.,This field is invalid.,Kenttä on virheellinen.,Ce champ n'est pas valide.,Questo campo non è valido.,Dit veld is ongeldig.,Dit veld is ongeldig.,Dette feltet er ugyldig.,,Ce champ n'est pas valide.,Dit veld is ongeldig.,Die Eingabe ist unzulässig.,Ce champ n'est pas valide.,Questo campo non è valido.,Este campo no es válido.,Este campo não é válido.,Dieses Feld ist ungültig.,Ce champ n'est pas valide.,Αυτό το πεδίο δεν είναι έγκυρο.,,Ez a mező érvénytelen.,Toto pole je neplatné.,Toto pole je neplatné.,Acest câmp nu este valid.,To polje ni veljavno.,Ovo polje je nevažeće.
dynamicFieldMessage.digits,This field must be a numerical value.,This field must be a numerical value.,This field must be a numerical value.,Dette felt skal være en numerisk værdi.,,Geben Sie ausschließlich Zahlen ein.,Geben Sie ausschließlich Zahlen ein.,,This field must be a numeric value.,This field must be a numerical value.,Kenttään on syötettävä numero.,Ce champ doit être une valeur numérique.,Questo campo deve contenere un valore numerico.,Dit veld moet een numerieke waarde zijn.,Dit veld moet een numerieke waarde zijn.,Dette feltet må være en tallverdi.,,Ce champ doit être une valeur numérique.,Dit veld moet een numerieke waarde zijn.,Geben Sie ausschliesslich Zahlen ein.,Ce champ doit être une valeur numérique.,Questo campo deve contenere un valore numerico.,Este campo debe contener un valor numérico.,Este campo deve conter um valor numérico.,Dieses Feld muss einen numerischen Wert enthalten.,Ce champ doit être une valeur numérique.,Το πεδίο αυτό πρέπει να περιέχει αριθμητική τιμή.,,Ennek a mezőnek numerikus értéket kell tartalmaznia.,Toto pole musí obsahovat číselnou hodnotu.,Toto pole musí obsahovať číselnú hodnotu.,Acest câmp trebuie să fie o valoare numerică.,To polje mora biti številčna vrednost.,Ovo polje mora biti numerička vrijednost.
dynamicFieldMessage.fiscalCodeTaxNumber,This field only allows a valid Fiscal Code Tax Number.,This field only allows a valid Fiscal Code Tax Number.,This field only allows a valid Fiscal Code Tax Number.,Hvad er dit CPR-nummer,,Not necessary in AT,Not necessary in DE,,Not necessary in US,This field only allows a valid Fiscal Code Tax Number.,Kenttään voi syöttää vain kelvollisen arvonlisäverotunnisteen (VAT-numeron),Ce champ n'autorise que les références fiscales valides,In questo campo viene ammesso solo un Codice Fiscale valido.,Dit veld laat alleen geldige BSN-nummers of btw-nummers toe.,Dit veld laat alleen geldige BSN-nummers of btw-nummers toe.,?,,Ce champ n'autorise que les numéros BSN ou les numéros de TVA valides.,Dit veld laat alleen geldige BSN-nummers of btw-nummers toe.,Not necessary in CH,Not necessary in CH,Not necessary in CH,Este campo tan solo puede contener un número de identificación fiscal válido.,Este campo só pode conter um número de identificação fiscal válido.,Dieses Feld lässt nur gültige BSN-Nummern oder Mehrwertsteuernummern zu.,Ce champ n'autorise que les numéros BSN ou les numéros de TVA valides.,Αυτό το πεδίο μπορεί να περιέχει μόνο έναν έγκυρο αριθμό φορολογικού μητρώου.,,Ez a mező csak érvényes adószámot engedélyez.,Zadejte platné daňové identifikační číslo.,Zadajte platné daňové identifikačné číslo,Acest câmp permite doar un codul fiscal valid.,To polje dovoljuje samo veljavno davčno številko davčne številke.,Ovo polje dopušta samo važeći porezni broj fiskalnog koda.
dynamicFieldMessage.maxLength,{value} character limit.,{value} character limit.,{value} character limit.,{værdi} tegnbegrænsning.,,Maximale Zeichenanzahl von {value} erreicht.,Maximale Zeichenanzahl von {value} erreicht.,,{value} character limit.,{value} character limit.,{value} merkkiraja.,Limite de {valeur} caractères.,Limite di caratteri di {valore}.,{waarde} tekenlimiet.,{waarde} tekenlimiet.,{verdi} tegnbegrensning.,,Limite de {valeur} caractères.,{waarde} tekenlimiet.,Maximale Zeichenanzahl von {value} erreicht.,Limite de {valeur} caractères.,Limite di caratteri di {valore}.,Límite de caracteres {Wert}.,Limite de caracteres {Wert}.,Begrenzung auf {Wert} Zeichen.,Limite de {valeur} caractères.,Όριο χαρακτήρων {value}.,,{value} karakterkorlát.,Počet znaků omezen na {value}.,Počet znakov je obmedzený na {value}.,{value} limită de caractere.,{value} omejitev znakov.,{value} ograničenje broja znakova.
mieleClub.headline,Miele Club,Miele Club,Miele Club,Miele Club,,Miele Club,myMiele Club,,,Miele Club,Miele Club,Miele Club,Miele Club,Miele Club,Miele Club,Miele Club,,,,Miele Club,Club Miele,Miele Club,Miele Club,Miele Club,,,Miele Club,,Miele Club,,,Miele Club,Miele klub,Miele klub
mieleClub.why.title,Membership,Membership,Membership,Medlemsskab,,Mitgliedschaft,Mitgliedschaft,,,Membership,Jäsenyys,Adhésion,Membro,Lidmaatschap,Lidmaatschap,Medlemsskap,,,,Mitgliedschaft,Membre,Membro,Membresía,Estatuto de membro,,,Κατάσταση μέλους,,Tagság,,,Membru,Članstvo,Članstvo
mieleClub.why.reasons,Birthday surprise,Birthday surprise,Birthday surprise,Fødselsdagshilsener,,Willkommensgeschenk,Geburtstagsgeschenk,,,Birthday surprise,Syntymäpäiväyllätys,Surprise d'anniversaire,Sorpresa di compleanno,Verjaardagsverrassing,Verjaardagsverrassing,Bursdagshilsen,,,,"Mitgliedskonto mit Informationen zu Ihren Geräten, Transaktionen und persönlichen Daten","Compte de membre avec informations sur vos appareils, transactions et données personnelles","Account del membro con informazioni sui dispositivi, le transazioni e i dati personali",Regalo de cumpleaños,Presente de aniversário,,,Δώρο γενεθλίων ,,Születésnapi meglepetés ,,,Surpriză cu ocazia zilei de naștereOferte și campanii exclusive,Rojstnodnevno presenečenje,Rođendansko iznenađenje
mieleClub.birthDateTitle,Can we send you a birthday gift?,Can we send you a birthday gift?,Can we send you a birthday gift?,Må vi sende dig en fødselsdagsgave?,,Dürfen wir Ihnen ein Geburtstagsgeschenk zusenden?,Dürfen wir Ihnen ein Geburtstagsgeschenk zusenden?,,,Can we send you a birthday gift?,Saammeko lähettää sinulle syntymäpäivälahjan?,Pouvons-nous vous envoyer un cadeau d'anniversaire ?,Possiamo inviarti un regalo di compleanno?,Mogen we je een verjaardagscadeau sturen?,Mogen we je een verjaardagscadeau sturen?,Kan vi sende deg en bursdagspresang?,,,,Dürfen wir Ihnen ein Geburtstagsgeschenk zusenden?,Pouvons-nous vous envoyer un cadeau d'anniversaire ?,Possiamo inviarti un regalo di compleanno?,¿Te gustaría recibir un regalo de cumpleaños?,Gostava de receber um presente de aniversário?,,,Θα θέλατε να λάβετε ένα δώρο γενεθλίων;,,Küldhetünk születésnapi ajándékot?,,,Vă putem trimite un cadou de ziua de naștere?,Vam lahko pošljemo darilo za rojstni dan?,Možemo li vam poslati rođendanski poklon?
mieleClub.birthDateValidation.requirementMsg,Use format like MM/DD/YYYY,Use format like MM/DD/YYYY,Use format like MM/DD/YYYY,Brug et format som MM/DD/YYYY,,Geben Sie dieses Datumsformat ein: MM/DD/YYYY,Geben Sie dieses Datumsformat ein: MM/DD/YYYY,,,Use format like MM/DD/YYYY,Syötä päivämäärä muodossa KK/PP/VVVV,Utilisez un format tel que MM/JJ/AAAA.,Utilizza il formato GG/MM/AAAA,Gebruik een formaat als MM/DD/JJJJ,Gebruik een formaat als MM/DD/JJJJ,Bruk formatet MM/DD/YYYY,,,,Geben Sie dieses Datumsformat ein: MM/DD/YYYY,Saisissez ce format de date : MM/DD/YYYY,Utilizza il formato GG/MM/AAAA,Utiliza el formato  MM/DD/YYYY,Utilize o formato MM/DD/YYYY,,,Χρησιμοποιήστε τη μορφή MM/DD/YYYY,,Használja a köv. formátumot:  HH/NN/ÉÉÉÉ,,,Utilizați un format precum LL/ZZ/AAAA,"Uporabite obliko, kot je MM/DD/LLLL",Koristite format poput MM/DD/GGGG
mieleClub.birthDateValidation.errorMsg,Invalid date,Invalid date,Invalid date,Ugyldig dato,,Ungültiges Datum,Ungültiges Datum,,,Invalid date,Virheellinen päivämäärä,Ce champ doit être une date valide.,Questo campo deve contenere una data valida.,Ongeldige datum,Ongeldige datum,Ugyldig dato,,,,Ungültiges Datum,Date non valide,Questo campo deve contenere una data valida.,Fecha incorrecta,Data incorreta,,,Λανθασμένη ημερομηνία,,Érvénytelen dátum,,,Dată invalidă,Neveljaven datum,Nevažeći datum
mieleClub.joinClubLabel,"Yes, I want to join the Miele club.","Yes, I want to join the Miele club.","Yes, I want to join the Miele club.","Ja, jeg vil gerne være med i Miele Club.",,"Ja, ich möchte dem Miele Club beitreten.","Ja, ich möchte dem myMiele Club beitreten.",,,"Yes, I want to join the Miele club.","Kyllä, haluan liittyä Miele Clubiin.","Oui, je souhaite rejoindre le club Miele.","Sì, voglio unirmi al Miele Club.","Ja, ik wil lid worden van de Miele-club.","Ja, ik wil lid worden van de Miele-club.","Ja, jeg vil være med i Miele Club.",,,,"Ja, ich möchte dem Miele Club beitreten.","Oui, je souhaite adhérer au Club Miele.","Sì, voglio unirmi al Miele Club.","Sí, quiero formar parte de Miele Club.","Sim, quero fazer parte do Miele Club.",,,"Ναι, θέλω να γίνω μέλος του Miele Club",,"Igen, szeretnék csatlakozni a Miele Clubhoz.",,,"Da, vreau să mă alătur clubului Miele.","Da, želim se pridružiti Miele klubu.","Da, želim se pridružiti Miele klubu."
mieleClub.termsAndCondition.description,"By becoming a Miele Club member, you agree to the Miele Club terms and conditions.","By becoming a Miele Club member, you agree to the Miele Club terms and conditions.","By becoming a Miele Club member, you agree to the Miele Club terms and conditions.",Ved at blive medlem af Miele Club accepterer du Miele Clubs betingelser og vilkår.,,Mit Ihrer Mitgliedschaft im Miele Club erklären Sie sich mit den Allgemeinen Geschäftsbedingungen des Miele Clubs einverstanden.,,,,"By becoming a Miele Club member, you agree to the Miele Club terms and conditions.",Liittymällä Miele Clubin jäseneksi hyväksyt Miele Clubin käyttöehdot.,"En devenant membre du Club Miele, vous acceptez les conditions générales du Club Miele.","Diventando un membro del Miele Club, si accettano i Termini e le Condizioni del Miele Club.",Door lid te worden van de Miele Club ga je akkoord met de algemene voorwaarden van de Miele Club.,Door lid te worden van de Miele Club ga je akkoord met de algemene voorwaarden van de Miele Club.,Ved å bli medlem av Miele Club aksepterer du Miele Clubs vilkår og betingelser.,,,,Mit Ihrer Mitgliedschaft im Miele Club erklären Sie sich mit den Allgemeinen Geschäftsbedingungen des Miele Club einverstanden.,"En devenant membre du Miele Club, vous acceptez les conditions générales de vente du Miele Club.","Diventando un membro del Miele Club, si accettano i Termini e le Condizioni del Miele Club.","Al pasar a formar parte de Miele Club, confirmas que estás de acuerdo con los Téminos y Condiciones.","Ao entrar no Miele Club, confirma que está de acordo com os Termos e Condições.",,,"Με την είσοδό σας στο Miele Club, επιβεβαιώνετε ότι συμφωνείτε με τους Όρους και Προϋποθέσεις.",,A Miele Club tagságával ön elfogadja a Miele Club feltételeit.,,,"Devenind membru al Clubului Miele, sunteți de acord cu termenii și condițiile Clubului Miele.","Če postanete član Miele kluba, se strinjate s pogoji poslovanja Miele kluba.",Postajanjem članom Miele kluba pristajete na uvjete Miele kluba.
mieleClub.newsletter.description,"Yes, I want to become a Miele Club member and receive Miele Club communication (welcome gift, birthday surprise, status upgrade reward, Miele Club news) via email.","Yes, I want to become a Miele Club member and receive Miele Club communication (welcome gift, birthday surprise, status upgrade reward, Miele Club news) via email.","Yes, I want to become a Miele Club member and receive Miele Club communication (welcome gift, birthday surprise, status upgrade reward, Miele Club news) via email.","Ja, jeg ønsker at blive medlem af Miele Club og modtage Miele Club-kommunikation (velkomstgave, fødselsdagshilsen, belønning for statusopgradering, Miele Club-nyhedsbreve) via e-mail.",,"Ja, ich möchte Miele Club Mitglied werden und Miele Club Kommunikation (Willkommensgeschenk, Geburtstagsüberraschung, Miele Club Neuigkeiten) per E-Mail erhalten.",,,,"Yes, I want to become a Miele Club member and receive Miele Club communication (welcome gift, birthday surprise, status upgrade reward, Miele Club news) via email.","Kyllä, haluan liittyä Miele Clubin jäseneksi ja vastaanottaa Miele Club -viestintää (tervetuliaislahja, syntymäpäiväyllätys, palkinto statuksen päivittämisestä, Miele Club -uutisia) sähköpostitse.","Oui, je souhaite devenir membre du Club Miele et recevoir les communications du Club Miele (cadeau de bienvenue, surprise d'anniversaire, récompense de passage au statut supérieur, actualités du Club Miele) par e-mail.","Sì, voglio diventare un membro del Miele Club e ricevere le comunicazioni del Miele Club (regalo di benvenuto, sorpresa di compleanno, premio per avanzamento di status, novità del Miele Club) per e-mail.","Ja, ik wil lid worden van de Miele Club en Miele Club-communicatie (welkomstgeschenk, verjaardag verrassing, Miele Club-nieuws) via e-mail ontvangen.","Ja, ik wil lid worden van de Miele Club en Miele Club-communicatie (welkomstgeschenk, verjaardag verrassing, Miele Club-nieuws) via e-mail ontvangen.","Ja, jeg ønsker å bli medlem av Miele Club og motta Miele Club-kommunikasjon (velkomstgave, bursdagshilsen, belønning for statusoppgradering, Miele Club-nyheter) via e-post.",,,,"Ja, ich möchte Miele Club Mitglied werden und Miele Club Kommunikation (Willkommensgeschenk, Geburtstagsüberraschung, Miele Club Neuigkeiten) per E-Mail erhalten.","Oui, je souhaite devenir membre du Miele Club et recevoir les communications du Miele Club (cadeau de bienvenue, surprise d'anniversaire, actualités du Miele Club) par e-mail.","Sì, voglio diventare un membro del Miele Club e ricevere le comunicazioni del Miele Club (regalo di benvenuto, sorpresa di compleanno, premio per avanzamento di status, novità del Miele Club) per e-mail.",,"Sim, quero fazer parte do Miele Club e receber informações (presente de boas-vindas, presente de aniversário, notícias) por e-mail.",,,"Ναι, θέλω να γίνω μέλος του Miele Club και να λαμβάνω πληροφορίες (δώρο καλωσορίσματος, δώρο γενεθλίων, νέα) μέσω e-mail.",,"Igen, szeretnék Miele Club tag lenni, és szeretnék e-mailben kapni  Miele Club kommunikációt (üdvözlő ajándék, születésnapi meglepetés, Miele Club hírek).",,,"Da, vreau să devin membru al Clubului Miele și să primesc comunicări din Clubul Miele (cadou de bun venit, surpriză de ziua de naștere, reformulare a statutului de membru, știri despre Clubul Miele) prin e-mail.","Da, želim postati član Miele kluba in prejemati sporočila Miele kluba (darilo dobrodošlice, rojstnodnevno presenečenje, sprememba statusa nadgradnje, novice Miele kluba) po e-pošti.","Da, želim postati član Miele kluba i primati komunikaciju Miele kluba (dar dobrodošlice, rođendansko iznenađenje, promjena statusa, novosti Miele kluba) putem e-pošte."